@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
226,'2020/05/04 09:22:58:068',1,104.03286,3.958863,99.276573,1,1,0.361113,0.971249
227,'2020/05/04 09:22:58:068',1,103.995872,3.958863,99.276573,1,1,0.361113,0.971249
228,'2020/05/04 09:22:58:075',1,103.995872,3.958863,99.607903,1,1,0.361113,0.971249
229,'2020/05/04 09:22:58:075',1,103.995872,4.017681,99.607903,1,1,0.361113,0.971249
230,'2020/05/04 09:22:58:075',1,103.832947,4.017681,99.607903,1,1,0.361113,0.971249
231,'2020/05/04 09:22:58:088',1,103.832947,4.017681,100.494743,1,1,0.361113,0.971249
232,'2020/05/04 09:22:58:089',1,103.832947,4.00197,100.494743,1,1,0.361113,0.971249
233,'2020/05/04 09:22:58:089',1,103.782333,4.00197,100.494743,1,1,0.361113,0.971249
234,'2020/05/04 09:22:58:105',1,103.782333,4.00197,101.390266,1,1,0.361113,0.971249
235,'2020/05/04 09:22:58:105',1,103.782333,4.004617,101.390266,1,1,0.361113,0.971249
236,'2020/05/04 09:22:58:106',1,103.928062,4.004617,101.390266,1,1,0.361113,0.971249
237,'2020/05/04 09:22:58:116',1,103.928062,4.004617,98.388306,1,1,0.361113,0.971249
238,'2020/05/04 09:22:58:116',1,103.928062,4.044473,98.388306,1,1,0.361113,0.971249
239,'2020/05/04 09:22:58:117',1,103.653351,4.044473,98.388306,1,1,0.361113,0.971249
240,'2020/05/04 09:22:58:125',1,103.653351,4.044473,93.537346,1,1,0.361113,0.971249
241,'2020/05/04 09:22:58:125',1,103.653351,3.964274,93.537346,1,1,0.361113,0.971249
242,'2020/05/04 09:22:58:126',1,103.356361,3.964274,93.537346,1,1,0.361113,0.971249
243,'2020/05/04 09:22:58:137',1,103.356361,3.964274,89.012711,1,1,0.361113,0.971249
244,'2020/05/04 09:22:58:137',1,103.356361,3.920438,89.012711,1,1,0.361113,0.971249
245,'2020/05/04 09:22:58:137',1,103.274841,3.920438,89.012711,1,1,0.361113,0.971249
246,'2020/05/04 09:22:58:145',1,103.274841,3.920438,94.650925,1,1,0.361113,0.971249
247,'2020/05/04 09:22:58:145',1,103.274841,3.953352,94.650925,1,1,0.361113,0.971249
248,'2020/05/04 09:22:58:146',1,103.620995,3.953352,94.650925,1,1,0.361113,0.971249
249,'2020/05/04 09:22:58:157',1,103.620995,3.953352,100.490356,1,1,0.361113,0.971249
250,'2020/05/04 09:22:58:157',1,103.620995,3.947115,100.490356,1,1,0.361113,0.971249
251,'2020/05/04 09:22:58:157',1,104.06971,3.947115,100.490356,1,1,0.361113,0.971249
252,'2020/05/04 09:22:58:176',1,104.06971,3.947115,102.613861,1,1,0.361113,0.971249
253,'2020/05/04 09:22:58:176',1,104.06971,4.13382,102.613861,1,1,0.361113,0.971249
254,'2020/05/04 09:22:58:176',1,104.223625,4.13382,102.613861,1,1,0.361113,0.971249
255,'2020/05/04 09:22:58:185',1,104.223625,4.13382,103.707855,1,1,0.361113,0.971249
256,'2020/05/04 09:22:58:185',1,104.223625,4.49027,103.707855,1,1,0.361113,0.971249
257,'2020/05/04 09:22:58:186',1,104.374542,4.49027,103.707855,1,1,0.361113,0.971249
258,'2020/05/04 09:22:58:198',1,104.374542,4.49027,101.702576,1,1,0.361113,0.971249
259,'2020/05/04 09:22:58:198',1,104.374542,4.686522,101.702576,1,1,0.361113,0.971249
260,'2020/05/04 09:22:58:198',1,104.175827,4.686522,101.702576,1,1,0.361113,0.971249
261,'2020/05/04 09:22:58:205',1,104.175827,4.686522,96.409409,1,1,0.361113,0.971249
262,'2020/05/04 09:22:58:205',1,104.175827,4.500156,96.409409,1,1,0.361113,0.971249
263,'2020/05/04 09:22:58:205',1,103.618782,4.500156,96.409409,1,1,0.361113,0.971249
264,'2020/05/04 09:22:58:215',1,103.618782,4.500156,23.082989,1,1,0.361113,0.971249
265,'2020/05/04 09:22:58:215',1,103.618782,0,23.082989,1,1,0.361113,0.971249
266,'2020/05/04 09:22:58:215',1,0,0,23.082989,1,1,0.361113,0.971249
267,'2020/05/04 09:22:58:227',1,0,0,0,1,1,0.361113,0.971249
268,'2020/05/04 09:22:58:227',1,0,3.597864,0,1,1,0.361113,0.971249
269,'2020/05/04 09:22:58:227',1,102.560883,3.597864,0,1,1,0.361113,0.971249
